year,statefip,met2013,perwt,sex,age,race,hispan,bpl,educd,empstat,uhrswork,inctot,incwage
"2019","Mississippi","Memphis, TN-MS-AR",59.00,"Female","64","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",59000,45000
"2019","Mississippi","Memphis, TN-MS-AR",108.00,"Male","66","White","Not Hispanic","New York","1 or more years of college credit, no degree","Employed","33",78200,68000
"2019","Mississippi","Memphis, TN-MS-AR",35.00,"Female","56","White","Not Hispanic","Missouri","Grade 11","Employed","25",12000,12000
"2019","Mississippi","Memphis, TN-MS-AR",41.00,"Male","48","Black/African American/Negro","Not Hispanic","Pennsylvania","1 or more years of college credit, no degree","Unemployed","N/A",10000,0
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Female","32","White","Not Hispanic","Tennessee","Grade 11","Not in labor force","15",16000,0
"2019","Mississippi","Memphis, TN-MS-AR",87.00,"Male","35","White","Not Hispanic","Tennessee","Grade 10","Unemployed","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Male","13","White","Not Hispanic","Mississippi","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Male","8","White","Not Hispanic","Mississippi","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Male","7","White","Not Hispanic","Mississippi","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Male","4","White","Not Hispanic","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",67.00,"Female","1","White","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",57.00,"Female","17","White","Not Hispanic","Tennessee","Grade 11","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",55.00,"Male","70","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Not in labor force","N/A",5000,0
"2019","Mississippi","Memphis, TN-MS-AR",30.00,"Male","67","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Not in labor force","N/A",43100,0
"2019","Mississippi","Memphis, TN-MS-AR",27.00,"Female","66","White","Not Hispanic","Mississippi","Bachelor's degree","Not in labor force","N/A",50000,0
"2019","Mississippi","Memphis, TN-MS-AR",107.00,"Female","35","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","34",34000,34000
"2019","Mississippi","Memphis, TN-MS-AR",110.00,"Male","34","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","46",80000,80000
"2019","Mississippi","Memphis, TN-MS-AR",99.00,"Male","16","White","Not Hispanic","Tennessee","Grade 11","Employed","15",1500,1500
"2019","Mississippi","Memphis, TN-MS-AR",104.00,"Male","13","White","Not Hispanic","Tennessee","Grade 8","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",105.00,"Female","6","White","Not Hispanic","Tennessee","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",111.00,"Male","57","White","Not Hispanic","Alabama","Master's degree","Employed","40",115000,115000
"2019","Mississippi","Memphis, TN-MS-AR",107.00,"Female","64","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","40",99800,77000
"2019","Mississippi","Memphis, TN-MS-AR",51.00,"Female","47","White","Not Hispanic","Connecticut","Associate's degree, type not specified","Employed","36",46000,46000
"2019","Mississippi","Memphis, TN-MS-AR",78.00,"Female","28","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","32",14000,14000
"2019","Mississippi","Memphis, TN-MS-AR",45.00,"Female","68","White","Not Hispanic","Alabama","Master's degree","Not in labor force","N/A",14000,0
"2019","Mississippi","Memphis, TN-MS-AR",55.00,"Female","6","White","Not Hispanic","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",40.00,"Female","79","White","Not Hispanic","Illinois","Grade 10","Employed","3",427200,385000
"2019","Mississippi","Memphis, TN-MS-AR",34.00,"Male","76","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",145.00,"Female","54","American Indian or Alaska Native","Not Hispanic","Mississippi","GED or alternative credential","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",82.00,"Male","60","White","Not Hispanic","Illinois","Bachelor's degree","Employed","60",95000,95000
"2019","Mississippi","Memphis, TN-MS-AR",80.00,"Female","57","White","Not Hispanic","Illinois","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",149.00,"Female","39","Black/African American/Negro","Not Hispanic","Tennessee","Bachelor's degree","Employed","45",60000,60000
"2019","Mississippi","Memphis, TN-MS-AR",145.00,"Male","42","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Employed","25",14000,0
"2019","Mississippi","Memphis, TN-MS-AR",193.00,"Female","15","Black/African American/Negro","Not Hispanic","Mississippi","Grade 9","N/A","N/A",0,999999
"2019","Mississippi","Memphis, TN-MS-AR",129.00,"Male","8","Black/African American/Negro","Not Hispanic","Mississippi","Grade 2","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",169.00,"Female","23","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",8400,0
"2019","Mississippi","Memphis, TN-MS-AR",371.00,"Female","19","Black/African American/Negro","Not Hispanic","Tennessee","Grade 8","Employed","50",14000,14000
"2019","Mississippi","Memphis, TN-MS-AR",251.00,"Male","3","Black/African American/Negro","Not Hispanic","Mississippi","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",250.00,"Male","1","Black/African American/Negro","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",394.00,"Female","28","Black/African American/Negro","Not Hispanic","Massachusetts","Associate's degree, type not specified","Employed","60",40200,37400
"2019","Mississippi","Memphis, TN-MS-AR",886.00,"Female","4","Black/African American/Negro","Not Hispanic","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Female","55","White","Not Hispanic","Louisiana","Associate's degree, type not specified","Not in labor force","N/A",15200,0
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Female","15","White","Not Hispanic","Tennessee","Grade 7","N/A","N/A",15200,999999
"2019","Mississippi","Memphis, TN-MS-AR",123.00,"Female","58","White","Not Hispanic","Illinois","Bachelor's degree","Employed","40",111000,56000
"2019","Mississippi","Memphis, TN-MS-AR",40.00,"Male","48","White","Not Hispanic","Texas","GED or alternative credential","Employed","50",100000,100000
"2019","Mississippi","Memphis, TN-MS-AR",72.00,"Female","50","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",35000,35000
"2019","Mississippi","Memphis, TN-MS-AR",83.00,"Female","30","White","Not Hispanic","Tennessee","Some college, but less than 1 year","Employed","40",20000,20000
"2019","Mississippi","Memphis, TN-MS-AR",69.00,"Female","6","White","Not Hispanic","Tennessee","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",196.00,"Male","62","Black/African American/Negro","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",12000,0
"2019","Mississippi","Memphis, TN-MS-AR",72.00,"Female","77","Black/African American/Negro","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",12000,0
"2019","Mississippi","Memphis, TN-MS-AR",223.00,"Male","55","Black/African American/Negro","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",38000,38000
"2019","Mississippi","Memphis, TN-MS-AR",360.00,"Male","40","Black/African American/Negro","Not Hispanic","Mississippi","Grade 10","Employed","40",19200,19200
"2019","Mississippi","Memphis, TN-MS-AR",360.00,"Male","39","Black/African American/Negro","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",9500,0
"2019","Mississippi","Memphis, TN-MS-AR",51.00,"Male","48","White","Not Hispanic","Tennessee","GED or alternative credential","Employed","30",1300,1300
"2019","Mississippi","Memphis, TN-MS-AR",89.00,"Female","53","White","Not Hispanic","Tennessee","Grade 10","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",90.00,"Female","21","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","25",2500,2500
"2019","Mississippi","Memphis, TN-MS-AR",71.00,"Female","73","White","Not Hispanic","Tennessee","Bachelor's degree","Not in labor force","N/A",34000,0
"2019","Mississippi","Memphis, TN-MS-AR",55.00,"Female","66","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",14400,0
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Male","66","White","Not Hispanic","Mississippi","Some college, but less than 1 year","Not in labor force","N/A",12000,0
"2019","Mississippi","Memphis, TN-MS-AR",46.00,"Female","72","White","Not Hispanic","Kansas","Bachelor's degree","Not in labor force","N/A",-500,0
"2019","Mississippi","Memphis, TN-MS-AR",56.00,"Male","73","White","Not Hispanic","Missouri","Bachelor's degree","Not in labor force","N/A",29500,0
"2019","Mississippi","Memphis, TN-MS-AR",116.00,"Male","63","White","Not Hispanic","Tennessee","Professional degree beyond a bachelor's degree","Employed","40",130000,130000
"2019","Mississippi","Memphis, TN-MS-AR",94.00,"Female","72","White","Not Hispanic","Nebraska","Regular high school diploma","Not in labor force","N/A",15600,0
"2019","Mississippi","Memphis, TN-MS-AR",175.00,"Male","30","White","Not Hispanic","Arkansas","GED or alternative credential","Not in labor force","40",18400,10000
"2019","Mississippi","Memphis, TN-MS-AR",168.00,"Female","30","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",8400,0
"2019","Mississippi","Memphis, TN-MS-AR",136.00,"Male","10","White","Not Hispanic","Tennessee","Grade 3","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",145.00,"Female","2","White","Not Hispanic","Tennessee","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",145.00,"Female","1","White","Not Hispanic","Tennessee","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",132.00,"Male","Less than 1 year old","White","Not Hispanic","Tennessee","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","71","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",11500,0
"2019","Mississippi","Memphis, TN-MS-AR",75.00,"Male","72","White","Not Hispanic","Mississippi","Bachelor's degree","Not in labor force","N/A",54940,0
"2019","Mississippi","Memphis, TN-MS-AR",208.00,"Female","58","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Not in labor force","N/A",9600,0
"2019","Mississippi","Memphis, TN-MS-AR",291.00,"Female","33","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","1",80,80
"2019","Mississippi","Memphis, TN-MS-AR",240.00,"Female","9","White","Not Hispanic","Mississippi","Grade 3","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",240.00,"Female","6","White","Not Hispanic","Mississippi","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",57.00,"Female","66","White","Not Hispanic","Maryland","Some college, but less than 1 year","Not in labor force","40",93800,85000
"2019","Mississippi","Memphis, TN-MS-AR",75.00,"Male","31","Black/African American/Negro","Not Hispanic","Arkansas","1 or more years of college credit, no degree","Employed","40",21800,21800
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","29","Black/African American/Negro","Not Hispanic","Tennessee","Bachelor's degree","Employed","40",50000,50000
"2019","Mississippi","Memphis, TN-MS-AR",149.00,"Female","2","Black/African American/Negro","Not Hispanic","Arkansas","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",149.00,"Female","1","Black/African American/Negro","Not Hispanic","Arkansas","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",89.00,"Male","61","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","40",46000,0
"2019","Mississippi","Memphis, TN-MS-AR",88.00,"Female","60","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","40",29000,29000
"2019","Mississippi","Memphis, TN-MS-AR",58.00,"Female","66","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","32",32600,15900
"2019","Mississippi","Memphis, TN-MS-AR",27.00,"Female","83","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",16700,0
"2019","Mississippi","Memphis, TN-MS-AR",58.00,"Male","71","White","Not Hispanic","Mississippi","Professional degree beyond a bachelor's degree","Not in labor force","N/A",36000,0
"2019","Mississippi","Memphis, TN-MS-AR",40.00,"Female","81","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",5400,0
"2019","Mississippi","Memphis, TN-MS-AR",95.00,"Female","51","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",96.00,"Male","51","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","40",36000,36000
"2019","Mississippi","Memphis, TN-MS-AR",101.00,"Female","24","White","Not Hispanic","Mississippi","Regular high school diploma","Employed","25",10000,10000
"2019","Mississippi","Memphis, TN-MS-AR",329.00,"Female","25","Black/African American/Negro","Not Hispanic","Tennessee","Master's degree","Employed","40",69000,69000
"2019","Mississippi","Memphis, TN-MS-AR",192.00,"Female","69","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",14400,0
"2019","Mississippi","Memphis, TN-MS-AR",130.00,"Male","79","White","Not Hispanic","Arkansas","Regular high school diploma","Not in labor force","N/A",1400,0
"2019","Mississippi","Memphis, TN-MS-AR",81.00,"Male","45","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","40",5700,5700
"2019","Mississippi","Memphis, TN-MS-AR",143.00,"Female","51","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","60",43400,43400
"2019","Mississippi","Memphis, TN-MS-AR",133.00,"Male","21","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Not in labor force","40",1900,1900
"2019","Mississippi","Memphis, TN-MS-AR",163.00,"Male","19","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","35",10500,10500
"2019","Mississippi","Memphis, TN-MS-AR",107.00,"Female","66","White","Not Hispanic","Arkansas","Bachelor's degree","Not in labor force","N/A",35000,0
"2019","Mississippi","Memphis, TN-MS-AR",131.00,"Male","68","White","Not Hispanic","Arkansas","Some college, but less than 1 year","Employed","25",355000,0
"2019","Mississippi","Memphis, TN-MS-AR",160.00,"Male","13","White","Not Hispanic","Mississippi","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",92.00,"Male","46","Black/African American/Negro","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","60",78000,78000
"2019","Mississippi","Memphis, TN-MS-AR",139.00,"Female","45","Black/African American/Negro","Not Hispanic","Tennessee","Master's degree","Employed","40",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",179.00,"Male","16","Black/African American/Negro","Not Hispanic","Tennessee","Grade 9","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",119.00,"Male","14","Black/African American/Negro","Not Hispanic","Tennessee","Grade 9","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",170.00,"Female","10","Black/African American/Negro","Not Hispanic","Tennessee","Grade 5","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",169.00,"Female","8","Black/African American/Negro","Not Hispanic","Tennessee","Grade 2","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",272.00,"Male","51","Black/African American/Negro","Not Hispanic","Michigan","GED or alternative credential","Employed","40",65000,65000
"2019","Mississippi","Memphis, TN-MS-AR",172.00,"Female","47","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","40",45000,45000
"2019","Mississippi","Memphis, TN-MS-AR",241.00,"Male","18","White","Not Hispanic","Tennessee","Grade 9","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",278.00,"Female","51","Black/African American/Negro","Not Hispanic","Mississippi","Master's degree","Employed","40",57000,57000
"2019","Mississippi","Memphis, TN-MS-AR",243.00,"Male","52","Black/African American/Negro","Not Hispanic","Mississippi","Bachelor's degree","Employed","50",80000,80000
"2019","Mississippi","Memphis, TN-MS-AR",239.00,"Male","29","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",60000,60000
"2019","Mississippi","Memphis, TN-MS-AR",157.00,"Male","7","White","Not Hispanic","Arkansas","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",301.00,"Male","24","Black/African American/Negro","Not Hispanic","Mississippi","Some college, but less than 1 year","Employed","40",24000,24000
"2019","Mississippi","Memphis, TN-MS-AR",372.00,"Female","24","Black/African American/Negro","Not Hispanic","Minnesota","Regular high school diploma","Not in labor force","32",6000,6000
"2019","Mississippi","Memphis, TN-MS-AR",113.00,"Male","61","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",52000,52000
"2019","Mississippi","Memphis, TN-MS-AR",57.00,"Female","34","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","44",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",79.00,"Male","44","White","Not Hispanic","Alabama","1 or more years of college credit, no degree","Employed","48",37000,37000
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","61","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Employed","40",38000,38000
"2019","Mississippi","Memphis, TN-MS-AR",71.00,"Male","32","White","Not Hispanic","Georgia","1 or more years of college credit, no degree","Employed","37",25500,25500
"2019","Mississippi","Memphis, TN-MS-AR",96.00,"Female","36","American Indian or Alaska Native","Not Hispanic","Texas","1 or more years of college credit, no degree","Employed","30",11100,8100
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Male","6","White","Mexican","Texas","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",106.00,"Female","37","Black/African American/Negro","Not Hispanic","Mississippi","Master's degree","Employed","42",75000,75000
"2019","Mississippi","Memphis, TN-MS-AR",183.00,"Male","37","White","Not Hispanic","Mississippi","Regular high school diploma","Employed","48",76000,76000
"2019","Mississippi","Memphis, TN-MS-AR",141.00,"Female","30","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","50",6500,6500
"2019","Mississippi","Memphis, TN-MS-AR",142.00,"Female","10","White","Not Hispanic","Mississippi","Grade 4","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",142.00,"Female","7","White","Not Hispanic","Mississippi","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",126.00,"Male","43","White","Not Hispanic","Mississippi","No schooling completed","Employed","20",12000,12000
"2019","Mississippi","Memphis, TN-MS-AR",309.00,"Female","28","Black/African American/Negro","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","40",23000,23000
"2019","Mississippi","Memphis, TN-MS-AR",326.00,"Male","10","Black/African American/Negro","Not Hispanic","Mississippi","Grade 2","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",147.00,"Male","37","Black/African American/Negro","Not Hispanic","Tennessee","Bachelor's degree","Employed","50",82000,82000
"2019","Mississippi","Memphis, TN-MS-AR",133.00,"Male","72","Black/African American/Negro","Not Hispanic","Tennessee","Bachelor's degree","Not in labor force","N/A",13800,0
"2019","Mississippi","Memphis, TN-MS-AR",21.00,"Female","83","White","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",27100,0
"2019","Mississippi","Memphis, TN-MS-AR",152.00,"Male","39","White","Not Hispanic","Mississippi","Bachelor's degree","Employed","50",122260,122000
"2019","Mississippi","Memphis, TN-MS-AR",125.00,"Female","37","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",119.00,"Female","6","White","Not Hispanic","Tennessee","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",113.00,"Male","2","White","Not Hispanic","Tennessee","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",116.00,"Female","62","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",57050,0
"2019","Mississippi","Memphis, TN-MS-AR",77.00,"Female","88","White","Not Hispanic","Mississippi","Grade 10","Not in labor force","N/A",30400,0
"2019","Mississippi","Memphis, TN-MS-AR",73.00,"Male","72","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","40",57000,57000
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Female","70","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",13200,0
"2019","Mississippi","Memphis, TN-MS-AR",45.00,"Female","49","White","Not Hispanic","Louisiana","Bachelor's degree","Not in labor force","N/A",6000,0
"2019","Mississippi","Memphis, TN-MS-AR",72.00,"Female","18","American Indian or Alaska Native","Not Hispanic","Louisiana","Regular high school diploma","Not in labor force","40",6000,6000
"2019","Mississippi","Memphis, TN-MS-AR",49.00,"Female","13","White","Not Hispanic","Louisiana","Grade 6","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",68.00,"Female","94","White","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",21080,0
"2019","Mississippi","Memphis, TN-MS-AR",68.00,"Female","69","White","Not Hispanic","Mississippi","Bachelor's degree","Not in labor force","N/A",30900,0
"2019","Mississippi","Memphis, TN-MS-AR",28.00,"Female","29","Black/African American/Negro","Not Hispanic","Mississippi","Some college, but less than 1 year","Employed","40",25000,25000
"2019","Mississippi","Memphis, TN-MS-AR",42.00,"Female","10","Black/African American/Negro","Not Hispanic","Tennessee","Grade 4","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",42.00,"Female","5","Black/African American/Negro","Not Hispanic","Mississippi","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","2","Black/African American/Negro","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",100.00,"Female","34","Black/African American/Negro","Not Hispanic","Mississippi","Bachelor's degree","Employed","40",35000,35000
"2019","Mississippi","Memphis, TN-MS-AR",127.00,"Male","10","Two major races","Not Hispanic","Mississippi","Grade 5","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",127.00,"Male","8","Two major races","Not Hispanic","Mississippi","Grade 2","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",105.00,"Male","71","White","Not Hispanic","Massachusetts","Bachelor's degree","Not in labor force","N/A",119700,0
"2019","Mississippi","Memphis, TN-MS-AR",109.00,"Female","64","White","Not Hispanic","Mississippi","Professional degree beyond a bachelor's degree","Not in labor force","N/A",62000,0
"2019","Mississippi","Memphis, TN-MS-AR",32.00,"Female","40","White","Not Hispanic","Pennsylvania","Master's degree","Employed","40",85000,73000
"2019","Mississippi","Memphis, TN-MS-AR",42.00,"Male","37","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","35",10400,10400
"2019","Mississippi","Memphis, TN-MS-AR",32.00,"Female","7","White","Not Hispanic","Tennessee","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",34.00,"Female","3","White","Not Hispanic","Tennessee","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",49.00,"Female","64","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",10200,0
"2019","Mississippi","Memphis, TN-MS-AR",111.00,"Female","65","White","Not Hispanic","Arkansas","1 or more years of college credit, no degree","Not in labor force","N/A",7600,0
"2019","Mississippi","Memphis, TN-MS-AR",172.00,"Male","54","White","Not Hispanic","Missouri","Grade 11","Employed","60",70000,0
"2019","Mississippi","Memphis, TN-MS-AR",130.00,"Female","54","White","Not Hispanic","Tennessee","Bachelor's degree","Unemployed","45",28000,28000
"2019","Mississippi","Memphis, TN-MS-AR",97.00,"Male","35","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","48",58000,58000
"2019","Mississippi","Memphis, TN-MS-AR",59.00,"Male","74","White","Not Hispanic","Texas","Master's degree","Not in labor force","N/A",43480,0
"2019","Mississippi","Memphis, TN-MS-AR",53.00,"Female","69","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",8500,0
"2019","Mississippi","Memphis, TN-MS-AR",108.00,"Female","38","Two major races","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","20",5700,5400
"2019","Mississippi","Memphis, TN-MS-AR",41.00,"Female","16","Three or more major races","Mexican","Tennessee","Grade 10","Employed","10",550,550
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Female","14","Three or more major races","Mexican","Tennessee","Grade 8","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",77.00,"Female","51","White","Not Hispanic","Washington","Regular high school diploma","Employed","40",43000,43000
"2019","Mississippi","Memphis, TN-MS-AR",67.00,"Male","59","White","Not Hispanic","Kentucky","Regular high school diploma","Employed","40",65000,65000
"2019","Mississippi","Memphis, TN-MS-AR",16.00,"Female","81","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",25200,0
"2019","Mississippi","Memphis, TN-MS-AR",101.00,"Female","19","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","20",12000,12000
"2019","Mississippi","Memphis, TN-MS-AR",112.00,"Female","21","White","Not Hispanic","Ohio","Some college, but less than 1 year","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",53.00,"Female","45","White","Not Hispanic","Tennessee","Master's degree","Employed","60",46700,46700
"2019","Mississippi","Memphis, TN-MS-AR",66.00,"Male","51","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","45",30000,30000
"2019","Mississippi","Memphis, TN-MS-AR",68.00,"Female","23","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Unemployed","25",450,450
"2019","Mississippi","Memphis, TN-MS-AR",76.00,"Male","18","White","Not Hispanic","Tennessee","12th grade, no diploma","Employed","12",4100,4100
"2019","Mississippi","Memphis, TN-MS-AR",54.00,"Female","16","White","Not Hispanic","Tennessee","Grade 10","Employed","12",1200,1200
"2019","Mississippi","Memphis, TN-MS-AR",98.00,"Female","39","Black/African American/Negro","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","34",10950,10600
"2019","Mississippi","Memphis, TN-MS-AR",85.00,"Male","18","Black/African American/Negro","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",111.00,"Female","13","Black/African American/Negro","Not Hispanic","Mississippi","Grade 6","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",151.00,"Male","36","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","50",101000,101000
"2019","Mississippi","Memphis, TN-MS-AR",117.00,"Female","41","Other race, nec","Mexican","Mississippi","Associate's degree, type not specified","Employed","40",26000,26000
"2019","Mississippi","Memphis, TN-MS-AR",113.00,"Male","2","White","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",101.00,"Female","17","White","Not Hispanic","Mississippi","Grade 10","Employed","15",3000,3000
"2019","Mississippi","Memphis, TN-MS-AR",68.00,"Male","65","White","Not Hispanic","Alabama","Bachelor's degree","Employed","30",56000,36000
